Name,Amount,Item
Barf,10000,Copper Bar
MaleDuck,880,Mystical Log
Barf,750,Mystic Bar
MaleDuck,15,Chest of Scraps
Barf,3689,Copper Bar
Barf,3013,Uranium Bar
Oribei,346,Lead Ore
Oribei,868,Yew Log
Barf,1318,Uranium Bar
Barf,1751,Mystic Bar
Barf,6311,Copper Bar
Barf,2687,Uranium Bar
MaleDuck,10000,Mystical Log
RE1ARZ0RO,1207,Mercury Bar
Barf,5000,Mercury Bar
Barf,4869,Uranium Bar
Barf,6767,Oak Log
Barf,2937,Uranium Bar
Barf,3023,Mercury Bar
Barf,11948,Oak Log
Barf,2000,Mystic Bar
MaleDuck,808,Willow Log
MaleDuck,4104,Willow Log
MaleDuck,405,Willow Log
Barf,176,Mercury Bar
Barf,176,Uranium Bar
Barf,3000,Uranium Bar
Barf,2562,Mercury Bar
Barf,10834,Oak Log
Barf,32,Mercury Bar
MadMooriah,4991,Willow Log
Barf,6889,Oak Log
MaleDuck,9048,Willow Log
MaleDuck,1100,Mahogany Log
MaleDuck,401,Willow Log
MaleDuck,301,Willow Log
Barf,3613,Oak Log
Barf,3167,Spruce Log
Barf,499,Mystic Bar
MadMooriah,2120,Mahogany Log
Sesdas,2000,Uranium Bar
MadMooriah,5312,Lead Bar
MadMooriah,2195,Lead Bar
TinyGhost,15000,Yew Log
MadMooriah,1920,Birch Log
MadMooriah,1471,Oak Log
MadMooriah,3663,Yew Log
MadMooriah,2944,Willow Log
MadMooriah,1326,Lead Bar
TinyGhost,7010,Banyan Log
TinyGhost,2853,Banyan Log
TinyGhost,2853,Banyan Log
TinyGhost,2284,Banyan Log
TinyGhost,7000,Tin Bar
MadMooriah,1871,Lead Bar
TinyGhost,4000,Tin Bar
TinyGhost,2500,Tin Bar
MadMooriah,2984,Lead Bar
TinyGhost,2000,Tin Bar
TinyGhost,500,Tin Bar
Barf,31490,Oak Log
Barf,5000,Uranium Bar
Barf,26639,Yew Log
Barf,3337,Chromite Bar
TinyGhost,2056,Tin Bar
TinyGhost,1944,Tin Bar
Barf,2366,Chromite Bar
MadMooriah,312,Lead Bar
MadMooriah,2000,Lead Bar
TinyGhost,1793,Chromite Bar
Barf,791,Chromite Bar
TinyGhost,1040,Chromite Bar
TinyGhost,8443,Mystic Bar
Barf,1582,Chromite Bar
Barf,4377,Mystic Bar
Barf,12010,Mystic Bar
MaleDuck,15000,Mystical Log
Barf,11819,Chromite Bar
Sesdas,2352,Chromite Bar
Barf,4920,Chromite Bar
Barf,2720,Mystic Bar
Barf,12812,Mahogany Log
MaleDuck,10000,Mystical Log
MaleDuck,5000,Mystical Log
MadMooriah,8068,Birch Log
MadMooriah,9979,Oak Log
MadMooriah,12122,Yew Log
MadMooriah,2971,Spruce Log
MadMooriah,1647,Mahogany Log
MadMooriah,9327,Mahogany Log
MadMooriah,2724,Spruce Log
Barf,30843,Spruce Log
Barf,8000,Mercury Bar
Barf,9660,Iron Bar
Barf,1498,Mahogany Log
Barf,5000,Mystic Bar
Barf,5340,Iron Bar
Barf,25000,Maple Log
MadMooriah,10000,Banyan Log
MadMooriah,5500,Lead Bar
MadMooriah,4500,Maple Log
RE1ARZ0RO,706,Mercury Bar
MadMooriah,5000,Yew Log
MadMooriah,1000,Birch Log
MadMooriah,2000,Spruce Log
MadMooriah,10000,Mahogany Log
MadMooriah,6,Yew Log
MadMooriah,5,Spruce Log
MadMooriah,290,Spruce Log
MadMooriah,12,Birch Log
MadMooriah,28,Mahogany Log
MadMooriah,500,Mahogany Log
,,
,Last update: 28th July 2:32 (GMT + 2),
